generation fossil gas,generation fossil oil,generation hydro pumped storage consumption,generation hydro water reservoir,generation solar,forecast solar day ahead,total load actual,price day ahead,total load forecast
4844.0,162.0,863.0,1899.0,49.0,17.0,25385.0,50.1,26118.0
5196.0,158.0,920.0,1658.0,50.0,16.0,24382.0,48.1,24934.0
4857.0,157.0,1164.0,1371.0,50.0,8.0,22734.0,47.33,23515.0
4314.0,160.0,1503.0,779.0,50.0,2.0,21286.0,42.27,22642.0
4130.0,156.0,1826.0,720.0,42.0,9.0,20264.0,38.41,21785.0
4038.0,156.0,2109.0,743.0,34.0,4.0,19905.0,35.72,21441.0
4040.0,158.0,2108.0,848.0,34.0,3.0,20010.0,35.13,21285.0
4030.0,160.0,2031.0,1012.0,35.0,12.0,20377.0,36.22,21545.0
4052.0,161.0,2119.0,1015.0,54.0,39.0,20094.0,32.4,21443.0
4137.0,163.0,2170.0,1357.0,743.0,784.0,20637.0,36.6,21560.0
4059.0,167.0,2020.0,1817.0,2019.0,1996.0,22250.0,43.1,22824.0
3931.0,166.0,1183.0,1516.0,3197.0,2990.0,23547.0,45.14,23720.0
3784.0,167.0,972.0,1204.0,3885.0,3842.0,24133.0,45.14,24180.0
3754.0,167.0,922.0,1286.0,4007.0,3812.0,24713.0,47.35,24797.0
3779.0,166.0,941.0,1027.0,3973.0,3699.0,24672.0,47.35,25222.0
3708.0,160.0,1069.0,1151.0,3818.0,3369.0,23528.0,43.61,24173.0
3813.0,163.0,970.0,1156.0,3088.0,2615.0,23118.0,44.91,23659.0
3967.0,165.0,798.0,1626.0,1467.0,1387.0,23606.0,48.1,23982.0
4756.0,164.0,1.0,3203.0,404.0,399.0,26447.0,58.02,26981.0
4410.0,147.0,1.0,5333.0,139.0,100.0,28020.0,61.01,28515.0
4324.0,154.0,0.0,6183.0,100.0,44.0,29014.0,62.69,30482.0
4684.0,154.0,0.0,6231.0,75.0,26.0,29571.0,60.41,30739.0
4870.0,154.0,0.0,5359.0,74.0,13.0,29031.0,58.15,29756.0
4685.0,160.0,0.0,3511.0,56.0,14.0,26798.0,53.6,27589.0
3189.0,193.0,1290.0,3871.0,54.0,5.0,27070.0,10.0,27309.0
2902.0,192.0,1996.0,2996.0,54.0,35.0,24935.0,7.0,25397.0
2772.0,189.0,2698.0,2581.0,54.0,43.0,23214.0,5.0,23640.0
2936.0,188.0,3269.0,2933.0,53.0,32.0,22540.0,4.0,22638.0
2893.0,189.0,3267.0,2646.0,53.0,31.0,22096.0,4.0,22238.0
2889.0,190.0,3258.0,2529.0,63.0,26.0,22066.0,4.8,22299.0
2898.0,189.0,3256.0,2658.0,55.0,21.0,22275.0,5.0,22660.0
2938.0,194.0,2987.0,2706.0,54.0,136.0,23025.0,7.04,23449.0
2869.0,196.0,2447.0,3090.0,116.0,175.0,23699.0,7.04,24067.0
3090.0,193.0,1907.0,3579.0,1039.0,1092.0,25834.0,7.88,25737.0
2844.0,200.0,938.0,4289.0,2373.0,2319.0,27927.0,10.71,27883.0
2699.0,199.0,747.0,4332.0,3699.0,3451.0,29072.0,10.0,28969.0
2606.0,197.0,864.0,3619.0,4154.0,4005.0,29071.0,7.04,28894.0
2662.0,208.0,906.0,3392.0,4074.0,4120.0,29439.0,7.0,29460.0
2729.0,195.0,1047.0,3487.0,3851.0,3794.0,29241.0,6.33,29389.0
2599.0,195.0,1491.0,2984.0,3619.0,3479.0,27973.0,5.0,28231.0
2996.0,195.0,1975.0,3104.0,3024.0,2788.0,27320.0,6.21,27716.0
3696.0,195.0,1760.0,3102.0,2053.0,1786.0,27157.0,9.98,27981.0
4760.0,199.0,595.0,3886.0,769.0,618.0,29045.0,33.15,30136.0
6030.0,205.0,78.0,5553.0,266.0,170.0,31967.0,50.0,32754.0
5973.0,214.0,68.0,5604.0,165.0,104.0,33266.0,52.01,33968.0
6082.0,215.0,68.0,5902.0,137.0,93.0,33668.0,50.01,33870.0
5747.0,217.0,68.0,5347.0,137.0,92.0,32426.0,45.8,32715.0
4177.0,220.0,68.0,4969.0,137.0,81.0,29705.0,41.74,30052.0
3801.0,246.0,502.0,3719.0,62.0,2.0,25564.0,35.62,26323.0
3812.0,245.0,1048.0,3482.0,62.0,0.0,23584.0,27.1,24301.0
3745.0,244.0,1880.0,3060.0,61.0,0.0,22194.0,25.0,22651.0
3638.0,244.0,2441.0,2474.0,61.0,2.0,21296.0,20.01,21785.0
3515.0,202.0,2767.0,2266.0,61.0,2.0,21145.0,17.1,21418.0
3626.0,189.0,2953.0,2449.0,61.0,1.0,21316.0,17.22,21317.0
3556.0,188.0,2744.0,2620.0,61.0,1.0,21674.0,20.14,21768.0
3524.0,190.0,2279.0,2559.0,63.0,37.0,22127.0,19.87,22276.0
4000.0,190.0,2152.0,3335.0,233.0,364.0,22756.0,20.22,22674.0
4157.0,226.0,1081.0,4229.0,820.0,1080.0,24654.0,25.22,24595.0
3960.0,249.0,341.0,4827.0,1665.0,2015.0,26454.0,25.13,26431.0
3622.0,250.0,325.0,4429.0,2488.0,2935.0,26959.0,27.1,27260.0
3138.0,247.0,409.0,4309.0,3218.0,3406.0,26716.0,28.71,27165.0
3113.0,249.0,1095.0,3784.0,3695.0,3743.0,26802.0,25.0,27449.0
3114.0,248.0,1750.0,3709.0,3780.0,3756.0,26416.0,23.68,27154.0
2982.0,206.0,2141.0,3320.0,3370.0,3373.0,25362.0,14.87,26011.0
2987.0,190.0,2175.0,3919.0,2692.0,2724.0,24770.0,11.7,25162.0
3169.0,190.0,1936.0,4256.0,1931.0,1852.0,24501.0,19.52,24691.0
3221.0,218.0,1271.0,4812.0,1015.0,741.0,24992.0,25.13,25293.0
